No,InChI,SMILES,RT_220,k,lnk
7e,"InChI=1S/C15H14Cl2N2O2/c16-13-7-6-12(14(17)19-13)15(20)18-8-9-21-10-11-4-2-1-3-5-11/h1-7H,8-10H2,(H,18,20)",c1cc(ccc1)COCCNC(=O)c1ccc(nc1Cl)Cl,168.60000000000002,3.2361809045226138,1.1743939013798614
7f,"InChI=1S/C17H12Cl2N2O/c18-15-9-8-14(16(19)21-15)17(22)20-10-12-6-3-5-11-4-1-2-7-13(11)12/h1-9H,10H2,(H,20,22)",Clc1nc(ccc1C(NCc1cccc2ccccc12)=O)Cl,488.6,11.27638190954774,2.4227104419180945
7g,"InChI=1S/C18H12Cl2N2O2/c19-16-11-10-15(17(20)22-16)18(23)21-12-6-8-14(9-7-12)24-13-4-2-1-3-5-13/h1-11H,(H,21,23)",c1cc(ccc1Oc1ccccc1)NC(c1ccc(Cl)nc1Cl)=O,534.0,12.41708542713568,2.5190733812641177
7h,"InChI=1S/C11H6Cl2FN3O/c12-8-3-2-7(10(13)17-8)11(18)16-6-1-4-9(14)15-5-6/h1-5H,(H,16,18)",n1c(ccc(NC(c2ccc(Cl)nc2Cl)=O)c1)F,182.4,3.5829145728643224,1.2761765956898037
8a,"InChI=1S/C17H25NO3/c1-12(2)14-10-9-13(3)15(11-14)18-16(19)7-5-6-8-17(20)21-4/h9-12H,5-8H2,1-4H3,(H,18,19)",CC(C)c1cc(c(cc1)C)NC(CCCCC(=O)OC)=O,88.0,1.2110552763819098,0.1914921087661628
8b,"InChI=1S/C13H18N2O4/c1-18-12-8-5-6-10(15-12)14-11(16)7-3-4-9-13(17)19-2/h5-6,8H,3-4,7,9H2,1-2H3,(H,14,15,16)",O(C(=O)CCCCC(=O)Nc1cccc(OC)n1)C,86.60000000000001,1.175879396984925,0.1620162906332094
8c,"InChI=1S/C12H23NO3/c1-9(2)10(3)13-11(14)7-5-6-8-12(15)16-4/h9-10H,5-8H2,1-4H3,(H,13,14)",CC(C)C(NC(CCCCC(=O)OC)=O)C,59.6,0.4974874371859298,-0.6981849745899021
8d,"InChI=1S/C18H25NO5/c1-18(2,3)24-17(22)13-9-11-14(12-10-13)19-15(20)7-5-6-8-16(21)23-4/h9-12H,5-8H2,1-4H3,(H,19,20)",CC(C)(C)OC(c1ccc(cc1)NC(CCCCC(=O)OC)=O)=O,107.80000000000001,1.7085427135678397,0.535640792885715
8e,"InChI=1S/C16H23NO4/c1-20-16(19)10-6-5-9-15(18)17-11-12-21-13-14-7-3-2-4-8-14/h2-4,7-8H,5-6,9-13H2,1H3,(H,17,18)",c1ccccc1COCCNC(=O)CCCCC(=O)OC,110.2,1.768844221105528,0.5703263508736048
8f,"InChI=1S/C18H21NO3/c1-22-18(21)12-5-4-11-17(20)19-13-15-9-6-8-14-7-2-3-10-16(14)15/h2-3,6-10H,4-5,11-13H2,1H3,(H,19,20)",C(c1cccc2ccccc12)NC(=O)CCCCC(OC)=O,183.8,3.6180904522613067,1.2859463872856087
8g,"InChI=1S/C19H21NO4/c1-23-19(22)10-6-5-9-18(21)20-15-11-13-17(14-12-15)24-16-7-3-2-4-8-16/h2-4,7-8,11-14H,5-6,9-10H2,1H3,(H,20,21)",c1cc(ccc1NC(=O)CCCCC(=O)OC)Oc1ccccc1,193.20000000000002,3.854271356783921,1.3491819766427642
8h,"InChI=1S/C12H15FN2O3/c1-18-12(17)5-3-2-4-11(16)15-9-6-7-10(13)14-8-9/h6-8H,2-5H2,1H3,(H,15,16)",O(C(=O)CCCCC(Nc1cnc(F)cc1)=O)C,87.60000000000001,1.2010050251256286,0.18315872720701862
